Beijing,580,8,418
Tianjin,174,3,135
Shanghai,509,5,341
Chongqing,579,6,570
Hebei,321,6,310
Henan,1276,22,1251
Yunnan,182,2,172
Liaoning,139,2,124
Heilongjiang,484,13,469
Hunan,1018,4,1014
Anhui,990,6,984
Shandong,774,7,753
Xinjiang,76,3,73
Jiangsu,646,0,631
Zhejiang,1257,1,1226
Jiangxi,937,1,935
Hubei,67801,3187,63153
Guangxi,254,2,250
Gansu,138,2,125
Shanxi,136,0,133
Inner Mongolia,107,1,74
Shaanxi,253,3,242
Jilin,98,1,92
Fujian,343,1,295
Guizhou,146,2,144
Guangdong,1494,8,1356
Qinghai,18,0,18
Tibet,1,0,1
Sichuan,550,3,536
Ningxia,75,0,75
Hainan,168,6,162
Taiwan,322,5,39
Hong Kong,714,4,128
Macau,41,0,10
