Beijing,452,8,360
Tianjin,136,3,133
Shanghai,355,3,325
Chongqing,576,6,570
Hebei,318,6,310
Henan,1273,22,1250
Yunnan,176,2,172
Liaoning,125,1,115
Heilongjiang,482,13,455
Hunan,1018,4,1014
Anhui,990,6,984
Shandong,760,7,746
Xinjiang,76,3,73
Jiangsu,631,0,631
Zhejiang,1231,1,1216
Jiangxi,935,1,934
Hubei,67798,3099,55142
Guangxi,252,2,248
Gansu,133,2,91
Shanxi,133,0,133
Inner Mongolia,75,1,73
Shaanxi,245,2,233
Jilin,93,1,92
Fujian,296,1,295
Guizhou,146,2,144
Guangdong,1361,8,1306
Qinghai,18,0,18
Tibet,1,0,1
Sichuan,539,3,516
Ningxia,75,0,75
Hainan,168,6,161
Taiwan,67,1,20
Hong Kong,155,4,84
Macau,11,0,10
